NO,R,G,B,KODE,NAMA
1,133,54,67,#853643,Wine Sensation
2,114,47,46,#722f2e,Intense Maroon
3,134,42,46,#862a2e,Crimson Sunbird
4,152,67,86,#984356,Radical Raspberry
5,153,40,44,#99282c,Rapture
6,163,46,57,#a32e39,Chinese Sensation
7,193,109,126,#c16d7e,Arbor Rose
8,194,63,75,#c23f4b,Hot Hibiscus
9,190,91,89,#be5b59,Marvelous Coral
10,224,137,156,#e0899c,Destiny
11,219,118,128,#db7680,Cheery Cherry
12,222,142,137,#de8e89,Coral Beach
13,236,184,190,#ecb8be,Fantastic Rose
14,244,166,168,#f4a6a8,Pink Revelation
15,238,161,151,#eea197,Bay Coral
16,230,206,208,#e6ced0,Cerise Feel
17,246,206,205,#f9cecd,Dollhouse Pink
18,246,214,207,#f6d6cf,Beauty Behaviour
19,221,123,89,#dd7b59,Cinnabar
20,37,150,190,#2596be,Burn Furnance
21,204,111,39,#cc6f27,Lily Polen
22,200,134,38,#c88626,Coperleaf
23,211,83,56,#d35338,Flame Gril
24,221,136,58,#dd883a,Harvest Glory
25,227,153,49,#e39931,winter squash
26,221,123,89,#dd7b59,cinnabar
27,230,169,111,#e6a96f,country cary
28,254,169,58,#fea93a,gas flame
29,244,164,129,#f4a481,peach punch
30,238,191,139,#eebf8b,caramel cookie
31,253,186,97,#fdba61,tropical mango
32,243,192,169,#f3c0a9,sensational salmon
33,246,206,162,#f6cea2,clever clay
34,253,210,155,#fdd29b,northen sunrise
35,242,212,194,#f2d4c2,pink peach
36,246,224,201,#f6e0c9,caramel hint 
37,221,156,44,#dd9c2c,Rich Brocade
38,219,160,0,#dba000,Indian Saffron
39,195,158,75,#c39e4b,Mustard Oil
40,248,175,28,#f8af1c,Golden Sun
41,245,183,0,#f5b700,Elegant Easter
42,215,180,104,#d7b468,Triple Crown
43,255,207,110,#ffcf6e,Dazzling Dunes
44,249,193,59,#f9c13b,Sublime Solar
45,230,199,128,#e6c780,Victorian Yellow
46,251,211,136,#fbd388,Glow Delight
47,246,207,108,#f6cf6c,Esential Yellow
48,232,232,232,#e8cc8d,Portuguese Sonnet
49,254,223,161,#fedfa1,Summertime Sentinent
50,254,224,137,#fee089,Sunrise Lift
51,242,220,170,#f2dcaa,May Yellow
